id,name,license_id,address_number,address_street_name,ssn,id_license,age,height,eye_color,hair_color,gender,plate_number,car_make,car_model,annual_income,transcript,fitness_membership_status,fitness_join_date,has_license,has_income,has_interview,is_fitness_member,age_group,income_group
10000,Christoper Peteuil,993845.0,624,Bankhall Ave,747714076,993845.0,46.0,59.0,black,green,male,557472,Chrysler,Town & Country,31000.0,,,,1,1,0,0,40-50,Ниже среднего
10007,Kourtney Calderwood,861794.0,2791,Gustavus Blvd,477972044,861794.0,54.0,74.0,black,white,female,3P6DMS,BMW,M Roadster,24000.0,"CHAPTER IV. The Rabbit Sends in a Little Bill
",,,1,1,1,0,50-60,Ниже среднего
10010,Muoi Cary,385336.0,741,Northwestern Dr,828638512,385336.0,24.0,79.0,blue,green,female,GM6Y5J,Mercedes-Benz,CLS-Class,14800.0,,,,1,1,0,0,20-30,Ниже среднего
10016,Era Moselle,431897.0,1987,Wood Glade St,614621061,431897.0,22.0,75.0,amber,red,female,461S1M,Ford,Ranger,47400.0,"
",,,1,1,1,0,20-30,Выше среднего
10025,Trena Hornby,550890.0,276,Daws Hill Way,223877684,550890.0,45.0,60.0,blue,black,female,8030O8,Toyota,Tacoma Xtra,,"
",,,1,0,1,0,40-50,Низкий
10027,Antione Godbolt,439509.0,2431,Zelham Dr,491650087,439509.0,56.0,72.0,blue,blue,male,35S8LN,Honda,Civic,79300.0,"nearer to watch them, and just as she came up to them she heard one of
",,,1,1,1,0,50-60,Высокий
10034,Kyra Buen,920494.0,1873,Sleigh Dr,332497972,920494.0,56.0,69.0,blue,grey,female,6K774M,Infiniti,G,21700.0,"a kind of serpent, that’s all I can say.’
",,,1,1,1,0,50-60,Ниже среднего
10039,Francesco Agundez,278151.0,736,Buswell Dr,861079251,278151.0,87.0,54.0,black,blue,male,0F3B3Z,Pontiac,Grand Am,22500.0,"     Beau--ootiful Soo--oop!
",,,1,1,1,0,60+,Ниже среднего
10095,Leslie Thate,729987.0,2772,Camellia Park Circle,127944356,729987.0,83.0,74.0,amber,blonde,female,6K364G,GMC,Yukon,,"
",,,1,0,1,0,60+,Низкий
10122,Alva Conkel,779002.0,116,Diversey Circle,148521773,779002.0,52.0,64.0,black,blue,male,8OLS80,Lotus,Exige,28700.0,"
",,,1,1,1,0,50-60,Ниже среднего
10126,Denver Barness,791807.0,1232,Via Escuela Rd,923716908,791807.0,81.0,61.0,brown,white,male,TY6CS4,Ferrari,California,,,,,1,0,0,0,60+,Низкий
10127,Yessenia Fossen,449378.0,3087,Ash St,314282107,449378.0,48.0,64.0,blue,blonde,female,XBO1R0,Ford,Escort,21400.0,,,,1,1,0,0,40-50,Ниже среднего
10141,Brittney Garfield,627292.0,2303,E Glen Park Ave,914555313,627292.0,64.0,64.0,amber,brown,female,4LXD5F,Lincoln,Navigator,67600.0,"invitation for the Duchess to play croquet.’
",,,1,1,1,0,60+,Высокий
10145,Adolfo Milbury,556561.0,2261,S Burr Blvd,883502067,556561.0,28.0,67.0,amber,black,male,311Z1Y,Chevrolet,Avalanche,39800.0,,,,1,1,0,0,20-30,Выше среднего
10152,Shanita Grigaliunas,206023.0,3056,Tarada St,659203754,206023.0,74.0,60.0,blue,red,female,A247NI,Chevrolet,Malibu,18300.0,"hand again, and made another snatch in the air. This time there were
",,,1,1,1,0,60+,Ниже среднего
10155,Cory Rodriquz,469214.0,2024,Montgomery Rd,689152589,469214.0,35.0,61.0,amber,blue,male,5NBSZS,Audi,A8,,"Alice had been all the way down one side and up the other, trying every
",,,1,0,1,0,30-40,Низкий
10158,Sandy Braim,492507.0,1844,Gigi Blvd,526308262,492507.0,43.0,52.0,blue,red,male,GWAK30,Jeep,Cherokee,88500.0,"
",,,1,1,1,0,40-50,Высокий
10168,Alyssa Wacaster,113356.0,675,El Sanjon Dr,629860541,113356.0,43.0,63.0,green,blue,female,Z77577,Audi,A4,60600.0,,,,1,1,0,0,40-50,Выше среднего
10187,Candra Laguardia,787365.0,2839,Trevelyan Ave,838427748,787365.0,78.0,69.0,amber,black,female,23C0MX,Mitsubishi,3000GT,88800.0,"    And have grown most uncommonly fat;
",,,1,1,1,0,60+,Высокий
10193,Everett Flasher,173984.0,1994,Redstart Dr,133690837,173984.0,43.0,67.0,green,red,male,3Y8UC5,Pontiac,Firebird,75800.0,"
",,,1,1,1,0,40-50,Высокий
10195,Ted Denfip,943723.0,2030,Hermit Ranch Way,498865878,943723.0,68.0,55.0,green,blue,male,JMHPQ5,GMC,Envoy,27100.0,"
",,,1,1,1,0,60+,Ниже среднего
10205,Harley Dearmore,566616.0,3701,Deercliff Circle,114085010,566616.0,63.0,56.0,brown,black,male,N75QDP,BMW,7 Series,47700.0,"
",,,1,1,1,0,60+,Выше среднего
10206,Dominique Kelcourse,234066.0,1592,South Baybrook Blvd,216059344,234066.0,20.0,74.0,black,grey,female,VT8Y35,Hyundai,Veracruz,89300.0,"time,’ she said, ‘than waste it in asking riddles that have no answers.’
",,,1,1,1,0,<20,Высокий
10218,Tawnya Soenksen,606928.0,373,N Althea Ave,233535179,606928.0,89.0,55.0,blue,brown,female,2R1OUS,Nissan,Altima,37400.0,"came upon a neat little house, on the door of which was a bright brass
",,,1,1,1,0,60+,Выше среднего
10219,Lynette Gehrlein,741585.0,993,Nashenden Farm Rd,749273979,741585.0,26.0,55.0,blue,blue,female,177110,Pontiac,Grand Prix,27900.0,"
",,,1,1,1,0,20-30,Ниже среднего
10224,Dayna Hamiter,949130.0,3172,Glencoe Blvd,127711530,949130.0,31.0,72.0,black,black,female,G5S3V7,Dodge,Stratus,23500.0,"saying to herself ‘This is Bill,’ she gave one sharp kick, and waited to
",,,1,1,1,0,30-40,Ниже среднего
10233,Alysha Laba,573935.0,1036,Pala Ave,728297848,573935.0,55.0,79.0,black,green,female,33PAML,Ferrari,599 GTB Fiorano,324300.0,"Turn that Dormouse out of court! Suppress him! Pinch him! Off with his
",,,1,1,1,0,50-60,Высокий
10236,Rogelio Gundersen,348809.0,75,West Oakdale Rd,826552633,348809.0,45.0,61.0,green,green,male,GY58T5,Audi,A6,,"‘Off with her head!’ the Queen shouted at the top of her voice. Nobody
",,,1,0,1,0,40-50,Низкий
10239,Vern Knochel,634998.0,1114,Beach Ave,893802962,634998.0,71.0,69.0,amber,black,male,OR41X4,Dodge,Ram Van 1500,30500.0,,,,1,1,0,0,60+,Ниже среднего
10242,Rogelio Trullinger,573427.0,1462,Sherando Way,789152518,573427.0,58.0,54.0,amber,blue,male,446IZ5,BMW,X6,88300.0,"chimneys were shaped like ears and the roof was thatched with fur. It
",,,1,1,1,0,50-60,Высокий
10250,Phil Brumbach,746676.0,2689,W Kingsley St,587719377,746676.0,26.0,79.0,brown,red,male,5BYM1N,Lincoln,MKZ,78100.0,"Longitude either, but thought they were nice grand words to say.)
",,,1,1,1,0,20-30,Высокий
10252,Brant Chestand,760627.0,2733,Warrant Officer Bauer Circle,891321312,760627.0,64.0,63.0,amber,grey,male,25Q8KW,Toyota,MR2,11200.0,,,,1,1,0,0,60+,Ниже среднего
10263,Hortense Schleich,730378.0,290,Inchbonnie Circle,770034175,730378.0,86.0,63.0,black,blue,female,3E1888,Mitsubishi,Endeavor,,,,,1,0,0,0,60+,Низкий
10269,Ahmed Ptacek,725731.0,1788,Ringlow Rd,278468103,725731.0,75.0,61.0,amber,grey,male,3G42H2,Ford,F150,65900.0,"to some tea and bread-and-butter, and then turned to the Dormouse, and
",,,1,1,1,0,60+,Высокий
10283,Marvella Rummler,805217.0,2800,Elm Brook Circle,609669321,805217.0,30.0,70.0,green,red,female,0TG06O,Ford,Explorer Sport Trac,43900.0,,,,1,1,0,0,20-30,Выше среднего
10284,Shela Edelson,146234.0,1239,Springle Blvd,679493157,146234.0,66.0,55.0,amber,grey,female,757X1Q,Toyota,TundraMax,15400.0,"
",,,1,1,1,0,60+,Ниже среднего
10287,Everette Arlia,952304.0,2034,Roseleigh Ave,855854498,952304.0,35.0,54.0,blue,red,male,3JI051,Saturn,VUE,63500.0,"about two feet high: even then she walked up towards it rather timidly,
",,,1,1,1,0,30-40,Выше среднего
10293,Errol Sandberg,538844.0,2426,London Hill Blvd,264155860,538844.0,67.0,66.0,brown,black,male,4N1788,Hyundai,Tucson,67000.0,,,,1,1,0,0,60+,Высокий
10304,Kimberley Silverberg,409894.0,371,Durweston Circle,469864247,409894.0,45.0,73.0,amber,blue,female,IF5XIT,Mercedes-Benz,Sprinter 3500,80800.0,"    *    *    *    *    *    *
",,,1,1,1,0,40-50,Высокий
10309,Odis Oliger,407895.0,478,Ashwater Rd,506347574,407895.0,48.0,63.0,amber,green,male,5KL5ZO,Toyota,Prius,47100.0,"
",,,1,1,1,0,40-50,Выше среднего
10319,Tama Mazy,706440.0,834,N Gateway Dr,169669311,706440.0,51.0,74.0,green,blue,female,O34O8E,Acura,RL,69100.0,,gold,20171021.0,1,1,0,1,50-60,Высокий
10322,Shyla Truman,555548.0,2976,Crossmead Dr,323973268,555548.0,80.0,77.0,brown,brown,female,0MXCZA,Jaguar,XK Series,57900.0,"silent.
",,,1,1,1,0,60+,Выше среднего
10325,Bruna Sumlin,340579.0,3808,N Bartlett Ave,898899969,340579.0,32.0,73.0,green,green,female,GRN3XK,Mitsubishi,Eclipse,20200.0,"   ‘Beautiful Soup! Who cares for fish,
",silver,20170604.0,1,1,1,1,30-40,Ниже среднего
10332,Manda Steady,263345.0,696,Almaden Blvd,715381893,263345.0,19.0,63.0,black,blonde,female,O68621,Mitsubishi,Challenger,,,,,1,0,0,0,<20,Низкий
10334,Martin Cochrum,106882.0,858,Lonczak Circle,679802307,106882.0,70.0,71.0,green,white,male,0764T6,Chevrolet,Suburban 1500,64300.0,"
",,,1,1,1,0,60+,Высокий
10336,Wesley Vancise,972265.0,2609,Symes Blvd,912522148,972265.0,47.0,60.0,green,black,female,UJMQAF,Volvo,C70,40900.0,,,,1,1,0,0,40-50,Выше среднего
10346,Davina Gangwer,279338.0,1360,Thorby Circle,456994450,279338.0,43.0,74.0,blue,white,female,1135EV,Ford,Five Hundred,,,,,1,0,0,0,40-50,Низкий
10347,Milford Digsby,379443.0,2435,Borick Rd,555893225,379443.0,18.0,52.0,green,green,male,J5630D,Hyundai,Genesis Coupe,,,,,1,0,0,0,<20,Низкий
10357,Brad Bowthorpe,647833.0,3932,Valiant Way,548869147,647833.0,34.0,63.0,amber,red,male,0K8N18,Honda,Ridgeline,,,,,1,0,0,0,30-40,Низкий
10377,Otto Bednar,622673.0,2098,Golden West Way,953529160,622673.0,27.0,81.0,blue,blue,male,40LT4E,Toyota,T100,,"about something, my dear, and that makes you forget to talk. I can’t
",,,1,0,1,0,20-30,Низкий
10388,Johanne Scerbo,357410.0,3817,South Illinois Ave,133749912,357410.0,22.0,78.0,black,green,female,OR6712,Nissan,Pathfinder,61800.0,"the middle, nursing a baby; the cook was leaning over the fire, stirring
",,,1,1,1,0,20-30,Выше среднего
10389,Britt List,967800.0,923,Marbury Rd,450910572,967800.0,75.0,69.0,black,brown,male,1G8LB3,Mazda,Mazdaspeed 3,,"
",,,1,0,1,0,60+,Низкий
10401,Lupe Jehl,386708.0,1572,Twinview St,140986937,386708.0,69.0,71.0,blue,green,female,1T344S,Saturn,VUE,14100.0,,,,1,1,0,0,60+,Ниже среднего
10425,Julio Abron,516080.0,1240,Errico Ave,338267383,516080.0,27.0,82.0,green,brown,female,0Z40JV,BMW,7 Series,22400.0,"‘I’m NOT a serpent!’ said Alice indignantly. ‘Let me alone!’
",,,1,1,1,0,20-30,Ниже среднего
10432,Stacia Bungert,747366.0,2770,Brown Hill Dr,828150852,747366.0,24.0,76.0,brown,white,female,O1MF15,GMC,Sierra 1500,35100.0,,,,1,1,0,0,20-30,Ниже среднего
10443,Vernia Eshlerman,232814.0,3004,Endon Circle,647860428,232814.0,48.0,57.0,brown,blue,female,6617MV,Cadillac,SRX,,"
",,,1,0,1,0,40-50,Низкий
10447,Bernardo Zohn,826622.0,2218,Cawker St,556926236,826622.0,47.0,80.0,black,brown,male,Q843WI,Pontiac,Aztek,11700.0,"
",,,1,1,1,0,40-50,Ниже среднего
10452,Zachary Angeloro,702210.0,3713,Currant Ave,965949567,702210.0,21.0,66.0,black,brown,male,PDFR8F,Ford,Excursion,61000.0,,,,1,1,0,0,20-30,Выше среднего
10455,Sally Claborn,508546.0,2621,North Croydon Dr,659962475,508546.0,34.0,56.0,brown,blonde,female,6QQGN2,Hyundai,Veracruz,,"‘Take some more tea,’ the March Hare said to Alice, very earnestly.
",,,1,0,1,0,30-40,Низкий
10472,Kory Beauliev,317650.0,2532,Charles Mary Dr,298041684,317650.0,55.0,55.0,brown,red,male,J5PPPZ,Toyota,Sienna,,,,,1,0,0,0,50-60,Низкий
10473,Daren Cwikla,687732.0,2479,Jersey Island Ave,941481359,687732.0,31.0,50.0,green,black,male,3WVV23,Ford,Flex,73400.0,"‘All right, so far,’ said the King, and he went on muttering over
",,,1,1,1,0,30-40,Высокий
10479,Lamar Dougal,330998.0,2848,Bass River Rd,970092883,330998.0,74.0,56.0,green,blue,male,R5R735,Toyota,Highlander,48800.0,,,,1,1,0,0,60+,Выше среднего
10488,Perry Kalima,546008.0,360,Strype Ave,429453894,546008.0,25.0,67.0,amber,green,male,VEO8Q8,Volvo,S40,69400.0,"something like this:--
",,,1,1,1,0,20-30,Высокий
10489,Libbie Cristelli,123129.0,419,Slaight Dr,643471534,123129.0,42.0,52.0,blue,grey,female,T21X5S,Hyundai,Elantra,65400.0,"
",,,1,1,1,0,40-50,Высокий
10518,Kenneth Embury,697704.0,1997,Bermondsey Long Ave,473784678,697704.0,68.0,80.0,amber,blonde,female,RKD16G,Cadillac,STS,30800.0,"
",,,1,1,1,0,60+,Ниже среднего
10522,Gilma Hentze,747622.0,3996,Trapper Way,417345692,747622.0,81.0,57.0,blue,blonde,female,I0VV10,Mercedes-Benz,Sprinter,82800.0,,,,1,1,0,0,60+,Высокий
10531,Tuyet Makinen,614689.0,2126,Sonning High Ave,292994504,614689.0,52.0,60.0,brown,grey,female,2E2TS3,Mercedes-Benz,C-Class,36800.0,"yours.”’
",,,1,1,1,0,50-60,Ниже среднего
10538,Luigi Larue,241264.0,2097,Beauty Beach Circle,310717397,241264.0,45.0,54.0,black,red,male,RC1XO6,Cadillac,DeVille,13700.0,,,,1,1,0,0,40-50,Ниже среднего
10540,Hana Beverage,310922.0,3810,Ayling Circle,168899875,310922.0,22.0,78.0,blue,grey,female,A0XTMW,BMW,5 Series,89700.0,,,,1,1,0,0,20-30,Высокий
10548,Reginald Baragar,243542.0,2131,Higher Lomax St,159968509,243542.0,26.0,67.0,green,brown,male,U62NXC,Suzuki,XL-7,38100.0,,,,1,1,0,0,20-30,Выше среднего
10565,Nova Fess,229752.0,221,Parrott Blvd,922737356,229752.0,36.0,60.0,black,green,female,MUQQR7,Toyota,RAV4,10100.0,"‘Then you shouldn’t talk,’ said the Hatter.
",,,1,1,1,0,30-40,Ниже среднего
10600,Ahmad Gehrlein,691486.0,1814,Vernam Rd,442249328,691486.0,77.0,80.0,green,brown,male,8014Y7,Smart,Fortwo,81800.0,"
",,,1,1,1,0,60+,Высокий
10605,See Blomberg,822468.0,3789,Drakes Landing Way,392270531,822468.0,41.0,69.0,amber,blue,female,ZU322H,Mitsubishi,Raider,52300.0,"again, sitting on a branch of a tree.
",,,1,1,1,0,40-50,Выше среднего
10615,Harold Fullmer,611876.0,804,Riedell Circle,421328353,611876.0,72.0,66.0,green,grey,male,HLTY17,Ford,Expedition,87500.0,,gold,20170721.0,1,1,0,1,60+,Высокий
10628,Maria Wallingford,252180.0,2812,Watney Way,225052190,252180.0,74.0,78.0,brown,blue,female,J3863X,Chevrolet,Cavalier,11200.0,,,,1,1,0,0,60+,Ниже среднего
10654,Sharyl Maryland,221465.0,298,Sevely Dr,604988312,221465.0,67.0,62.0,green,blue,female,T64758,Isuzu,Trooper,49600.0,,,,1,1,0,0,60+,Выше среднего
10679,Louis Dehrer,913507.0,351,N Green Meadows Rd,305222358,913507.0,60.0,66.0,green,black,female,R4KXP3,Volkswagen,Rabbit,74600.0,,,,1,1,0,0,50-60,Высокий
10680,Ela Vardeman,490433.0,624,Tom Fowler St,383762179,490433.0,51.0,63.0,black,blonde,female,I1H0W2,Nissan,Maxima,54500.0,"
",,,1,1,1,0,50-60,Выше среднего
10683,Wilburn Shilo,228375.0,839,West Muller Way,717231551,228375.0,89.0,63.0,amber,grey,male,A0TLV6,Mitsubishi,Lancer,53600.0,,,,1,1,0,0,60+,Выше среднего
10699,Nisha Thielman,247757.0,3812,Litho Ave,566331316,247757.0,37.0,73.0,blue,black,female,X6P4GA,Ford,Excursion,,,,,1,0,0,0,30-40,Низкий
10704,Shanta Finwall,121750.0,323,N Kingsway Way,392177155,121750.0,51.0,67.0,amber,red,female,555AGV,Volkswagen,Phaeton,72500.0,,,,1,1,0,0,50-60,Высокий
10713,Tammy Furno,794481.0,1006,Flickinger St,745677086,794481.0,21.0,76.0,amber,red,female,7VQCH5,Porsche,911,62300.0,"saw the White Rabbit. She was a little nervous about it just at first,
",,,1,1,1,0,20-30,Выше среднего
10723,Fredric Dozer,307793.0,2753,East Laguna Dr,756730136,307793.0,45.0,55.0,blue,black,male,3E8MI6,Porsche,Cayman,80100.0,"by another footman in livery, with a round face, and large eyes like a
",,,1,1,1,0,40-50,Высокий
10743,Jon Bosten,742855.0,1283,Kinnaird Circle,337282520,742855.0,55.0,62.0,blue,blonde,male,AZI615,Porsche,Cayenne,82500.0,"
",,,1,1,1,0,50-60,Высокий
10761,Malcolm Fechtig,484083.0,1859,Harestone St,690602176,484083.0,68.0,62.0,black,blue,male,5IZRK0,Ford,F150,46600.0,,,,1,1,0,0,60+,Выше среднего
10777,Emiko Spuhler,142084.0,1636,Korndyk Ave,288574603,142084.0,70.0,74.0,amber,grey,female,04KMRW,Ford,F350,27900.0,"wrote down all three dates on their slates, and then added them up, and
",,,1,1,1,0,60+,Ниже среднего
10797,Zack Pentecost,150590.0,1839,Rushwood St,532875652,150590.0,43.0,75.0,blue,blonde,male,G50D05,Suzuki,XL7,48100.0,,,,1,1,0,0,40-50,Выше среднего
10808,Sharyl Cabal,731121.0,2491,Syril Way,615214086,731121.0,21.0,75.0,green,red,female,6R4387,Dodge,Ram 1500,57400.0,"the morning, just time to begin lessons: you’d only have to whisper a
",,,1,1,1,0,20-30,Выше среднего
10814,Cierra Schroer,568163.0,1404,Andy Rd,896709139,568163.0,69.0,75.0,blue,blue,female,3JX471,GMC,Yukon XL 2500,77500.0,,,,1,1,0,0,60+,Высокий
10815,Adriane Pelligra,952073.0,948,Emba Ave,243639527,952073.0,51.0,59.0,amber,grey,female,KPF728,Lincoln,Aviator,,,silver,20170816.0,1,0,0,1,50-60,Низкий
10816,Garret Kuffel,773358.0,1075,Demby Rd,889692872,773358.0,71.0,64.0,black,blonde,male,6RI8NS,Mazda,Mazda6,72200.0,,,,1,1,0,0,60+,Высокий
10833,Queen Radigan,573165.0,2910,Claire St,352925729,573165.0,62.0,79.0,blue,grey,female,LR31RK,Chevrolet,S10,64000.0,"‘So you did, old fellow!’ said the others.
",gold,20180320.0,1,1,1,1,60+,Выше среднего
10834,Gerald Reil,316145.0,2456,Watervale Ave,382201590,316145.0,83.0,60.0,blue,blonde,male,Z1V84X,Dodge,Dakota,,,,,1,0,0,0,60+,Низкий
10843,Linda Chikko,652509.0,453,Low Cross Wood Way,393445768,652509.0,32.0,73.0,green,blonde,female,6454Z3,Buick,Century,22400.0,,,,1,1,0,0,30-40,Ниже среднего
10866,Meghann Rimmer,829324.0,1155,Fiat Rd,459201711,829324.0,62.0,81.0,blue,grey,female,7E1P15,Mazda,MX-5,28300.0,,,,1,1,0,0,60+,Ниже среднего
10890,Jami Freiberger,562234.0,3376,Diesel Way,324014092,562234.0,69.0,57.0,black,brown,female,56221X,Mercury,Grand Marquis,,"‘I’ve had nothing yet,’ Alice replied in an offended tone, ‘so I can’t
",,,1,0,1,0,60+,Низкий
10904,Lawrence Angiolillo,933156.0,2895,Cameron Pond Ave,201309154,933156.0,67.0,68.0,amber,black,male,CB0K83,Chevrolet,Silverado 2500,,,,,1,0,0,0,60+,Низкий
10909,Ada Mcbrady,969690.0,3982,Woolley Blvd,772978976,969690.0,89.0,73.0,green,brown,female,BG1P87,Chrysler,Pacifica,57900.0,"
",,,1,1,1,0,60+,Выше среднего
10910,Torie Diekmann,868735.0,21,Pilgrim Way,795102956,868735.0,53.0,73.0,green,blonde,female,HN228R,Chevrolet,Camaro,11300.0,,,,1,1,0,0,50-60,Ниже среднего
10912,Leida Vaka,650228.0,3820,Sherburne Dr,682173940,650228.0,47.0,57.0,black,blonde,female,NC534X,Aston Martin,Vantage,16500.0,,,,1,1,0,0,40-50,Ниже среднего
10914,Cinderella Coachman,189336.0,575,Yanilla St,516609775,189336.0,48.0,58.0,amber,green,female,1H2QPA,Nissan,Sentra,36700.0,"As soon as the jury had a little recovered from the shock of being
",,,1,1,1,0,40-50,Ниже среднего
